Date,Time,League,Division,Type,Away_Team,Away_Link,Away_Score,Home_Team,Home_Link,Home_Score,Location,Summary
2025-12-13,20:45,5v5,Touch_Division_5,PLAYOFFS,North Bay,https://pitfootball.comdivision/65/teams/633,25,Rifles,https://pitfootball.com/league/pit-football/division/64/teams/632,0,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/64/schedule/975
2025-12-13,20:45,5v5,Touch_Division_5,PLAYOFFS,Bleues Clueless,https://pitfootball.com/league/pit-football/division/65/teams/553,20,Lizard Kings,https://pitfootball.com/league/pit-football/division/65/teams/554,26,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/65/schedule/989
2025-12-13,19:45,5v5,Touch_Division_2,PLAYOFFS,Be Sexy,https://pitfootball.com/league/pit-football/division/81/teams/542,32,Big Baller Brand,https://pitfootball.com/league/pit-football/division/81/teams/538,38,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/81/schedule/992
2025-12-13,19:45,Coed,Coed_D2,PLAYOFFS,Kinda Athletic,https://pitfootball.com/league/pit-football/division/83/teams/610,26,Please Lettuce Win,https://pitfootball.com/league/pit-football/division/83/teams/605,25,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/83/schedule/988
2025-12-13,00:05,5v5,Touch_Division_16,PLAYOFFS,WF,https://pitfootball.com/league/pit-football/division/76/teams/598,25,Endzone,https://pitfootball.com/league/pit-football/division/76/teams/600,18,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/76/schedule/978
2025-12-13,00:05,5v5,Touch_Division_18,PLAYOFFS,Undisputed Era,https://pitfootball.com/league/pit-football/division/77/teams/623,0,SKOL,https://pitfootball.com/league/pit-football/division/77/teams/626,35,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/77/schedule/987
2025-12-13,00:05,5v5,Touch_Division_4,PLAYOFFS,Andriys Dream Team,https://pitfootball.com/league/pit-football/division/64/teams/551,26,Down 2 Football,https://pitfootball.com/league/pit-football/division/64/teams/552,33,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/64/schedule/981
2025-12-13,00:05,5v5,Touch_Division_7,PLAYOFFS,Guardians Coed,https://pitfootball.com/league/pit-football/division/67/teams/562,28,We Survived,https://pitfootball.com/league/pit-football/division/67/teams/561,14,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/67/schedule/984
2025-12-12,23:05,5v5,Touch_Division_11,PLAYOFFS,Venum,https://pitfootball.com/league/pit-football/division/71/teams/577,12,Wickermen,https://pitfootball.com/league/pit-football/division/71/teams/578,32,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/71/schedule/986
2025-12-12,23:05,5v5,Touch_Division_15,PLAYOFFS,The Blue Ballers,https://pitfootball.com/league/pit-football/division/75/teams/596,29,Gooney Toons,https://pitfootball.com/league/pit-football/division/75/teams/595,6,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/75/schedule/977
2025-12-12,23:05,5v5,Touch_Division_6,PLAYOFFS,D3F,https://pitfootball.com/league/pit-football/division/66/teams/559,33,Gotham Knights Legends,https://pitfootball.com/league/pit-football/division/66/teams/557,45,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/66/schedule/983
2025-12-12,23:05,Flag,Flag_D1_Competitive,PLAYOFFS,Peg CIty,https://pitfootball.com/league/pit-football/division/60/teams/531,24,Winnipeg Rebellion,https://pitfootball.com/league/pit-football/division/60/teams/533,20,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/60/schedule/980
2025-12-12,22:05,5v5,Touch_Division_10,PLAYOFFS,59ers,https://pitfootball.com/league/pit-football/division/70/teams/576,26,Not So Young Guns,https://pitfootball.com/league/pit-football/division/70/teams/573,42,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/70/schedule/982
2025-12-12,22:05,5v5,Touch_Division_13,PLAYOFFS,Edgeatrons,https://pitfootball.com/league/pit-football/division/73/teams/585,45,Dingos,https://pitfootball.com/league/pit-football/division/73/teams/587,22,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/73/schedule/985
2025-12-12,22:05,Flag,Flag_D2_Recreational,PLAYOFFS,Peg City Pipeline,https://pitfootball.com/league/pit-football/division/61/teams/536,18,North Bay IR,https://pitfootball.com/league/pit-football/division/61/teams/537,34,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/61/schedule/979
2025-12-12,22:05,Flag,Flag_D4_Coed,PLAYOFFS,Fearless,https://pitfootball.com/league/pit-football/division/87/teams/613,19,Mothmen,https://pitfootball.com/league/pit-football/division/87/teams/614,37,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/87/schedule/976
2025-12-07,00:45,5v5,Touch_Division_12,PLAYOFFS,Globo Gym Purple Cobras,https://pitfootball.com/league/pit-football/division/72/teams/584,32,Young Wild and Free,https://pitfootball.com/league/pit-football/division/72/teams/583,0,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/72/schedule/974
2025-12-07,00:45,5v5,Touch_Division_3,PLAYOFFS,Cream of the century,https://pitfootball.com/league/pit-football/division/63/teams/548,25,Creamsicles,https://pitfootball.com/league/pit-football/division/63/teams/546,24,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/63/schedule/960
2025-12-07,00:45,5v5,Touch_Division_3,PLAYOFFS,Cream on your TDs,https://pitfootball.com/league/pit-football/division/63/teams/547,32,All black no cream,https://pitfootball.com/league/pit-football/division/63/teams/545,20,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/63/schedule/966
2025-12-07,00:45,5v5,Touch_Division_8,PLAYOFFS,Necessary Roughness,https://pitfootball.com/league/pit-football/division/68/teams/565,2,Les Amis D'Huddle,https://pitfootball.com/league/pit-football/division/68/teams/567,37,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/68/schedule/970
2025-12-06,23:45,5v5,Touch_Division_13,PLAYOFFS,Boozers,https://pitfootball.com/league/pit-football/division/73/teams/586,25,Edgeatrons,https://pitfootball.com/league/pit-football/division/73/teams/585,26,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/73/schedule/969
2025-12-06,23:45,5v5,Touch_Division_1,PLAYOFFS,Sock Puppets,https://pitfootball.com/league/pit-football/division/80/teams/541,33,Seafood City,https://pitfootball.com/league/pit-football/division/80/teams/543,39,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/80/schedule/965
2025-12-06,23:45,5v5,Touch_Division_7,PLAYOFFS,Brewers,https://pitfootball.com/league/pit-football/division/67/teams/563,0,Guardians Coed,https://pitfootball.com/league/pit-football/division/67/teams/562,19,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/67/schedule/959
2025-12-06,23:45,5v5,Touch_Division_8,PLAYOFFS,Cannonball,https://pitfootball.com/league/pit-football/division/68/teams/566,26,Post Dig Picks Route,https://pitfootball.com/league/pit-football/division/68/teams/568,33,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/68/schedule/973
2025-12-06,22:45,5v5,Touch_Division_10,PLAYOFFS,Blue chew,https://pitfootball.com/league/pit-football/division/70/teams/574,18,59ers,https://pitfootball.com/league/pit-football/division/70/teams/576,26,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/70/schedule/972
2025-12-06,22:45,5v5,Touch_Division_18,PLAYOFFS,Post Dig Pick Routes 2: return of the bicep,https://pitfootball.com/league/pit-football/division/77/teams/625,12,SKOL,https://pitfootball.com/league/pit-football/division/77/teams/626,32,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/77/schedule/958
2025-12-06,22:45,Flag,Flag_D1_Competitive,PLAYOFFS,MennoKnights,https://pitfootball.com/league/pit-football/division/60/teams/530,37,Peg CIty,https://pitfootball.com/league/pit-football/division/60/teams/531,39,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/60/schedule/964
2025-12-06,22:45,Flag,Flag_D1_Competitive,PLAYOFFS,Manitoba Alliance,https://pitfootball.com/league/pit-football/division/60/teams/532,31,Winnipeg Rebellion,https://pitfootball.com/league/pit-football/division/60/teams/533,47,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/60/schedule/968
2025-12-06,21:45,5v5,Touch_Division_2,PLAYOFFS,Be Sexy,https://pitfootball.com/league/pit-football/division/81/teams/542,25,MennoKnights and the Frog,https://pitfootball.com/league/pit-football/division/81/teams/539,20,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/81/schedule/967
2025-12-06,21:45,Coed,Coed_D1,PLAYOFFS,Bruh,https://pitfootball.com/league/pit-football/division/82/teams/611,14,Here for the Football,https://pitfootball.com/league/pit-football/division/82/teams/604,27,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/82/schedule/963
2025-12-06,21:45,Coed,Coed_D2,PLAYOFFS,Kinda Athletic,https://pitfootball.com/league/pit-football/division/83/teams/610,24,DilloMania 1985,https://pitfootball.com/league/pit-football/division/83/teams/603,14,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/83/schedule/957
2025-12-06,21:45,Coed,Coed_D2,PLAYOFFS,Skibidi Squad,https://pitfootball.com/league/pit-football/division/83/teams/612,13,Please Lettuce Win,https://pitfootball.com/league/pit-football/division/83/teams/605,38,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/83/schedule/971
2025-12-06,20:45,5v5,Touch_Division_14,PLAYOFFS,Brady's Deflated Balls,https://pitfootball.com/league/pit-football/division/74/teams/592,20,Injured Reserve,https://pitfootball.com/league/pit-football/division/74/teams/590,54,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/74/schedule/956
2025-12-06,20:45,5v5,Touch_Division_5,PLAYOFFS,Bleues Clueless,https://pitfootball.com/league/pit-football/division/65/teams/553,28,Avengers,https://pitfootball.com/league/pit-football/division/65/teams/555,24,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/65/schedule/962
2025-12-06,19:45,5v5,Touch_Division_17,PLAYOFFS,Back That Pass Up,https://pitfootball.com/league/pit-football/division/78/teams/620,13,Original 16 Free Agents,https://pitfootball.com/league/pit-football/division/78/teams/622,31,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/78/schedule/955
2025-12-06,19:45,Coed,Coed_D1,PLAYOFFS,St john's alumni,https://pitfootball.com/league/pit-football/division/82/teams/601,0,Danger Zone (Coed),https://pitfootball.com/league/pit-football/division/82/teams/609,51,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/82/schedule/961
2025-12-06,00:45,5v5,Touch_Division_12,PLAYOFFS,Touchdown there,https://pitfootball.com/league/pit-football/division/72/teams/582,7,Moneyball,https://pitfootball.com/league/pit-football/division/72/teams/581,38,WSF South - U of M Complex (4),https://pitfootball.com/league/pit-football/division/72/schedule/954
2025-12-06,00:45,5v5,Touch_Division_18,PLAYOFFS,Undisputed Era,https://pitfootball.com/league/pit-football/division/77/teams/623,32,Low Expectationz,https://pitfootball.com/league/pit-football/division/77/teams/624,12,WSF South - U of M Complex (1),https://pitfootball.com/league/pit-football/division/77/schedule/945
2025-12-06,00:45,5v5,Touch_Division_4,PLAYOFFS,Rouge Gods,https://pitfootball.com/league/pit-football/division/64/teams/550,19,Andriys Dream Team,https://pitfootball.com/league/pit-football/division/64/teams/551,45,WSF South - U of M Complex (2),https://pitfootball.com/league/pit-football/division/64/schedule/948
2025-12-06,00:45,5v5,Touch_Division_4,PLAYOFFS,God Hates Jags,https://pitfootball.com/league/pit-football/division/64/teams/549,18,Down 2 Football,https://pitfootball.com/league/pit-football/division/64/teams/552,54,WSF South - U of M Complex (3),https://pitfootball.com/league/pit-football/division/64/schedule/951
2025-12-06,00:05,5v5,Touch_Division_16,PLAYOFFS,WF,https://pitfootball.com/league/pit-football/division/76/teams/598,27,Stagg and the Greybeard Broncos,https://pitfootball.com/league/pit-football/division/76/teams/597,19,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/76/schedule/933
2025-12-06,00:05,5v5,Touch_Division_17,PLAYOFFS,Wheeling Hamoods,https://pitfootball.com/league/pit-football/division/78/teams/619,25,Droppin Dimes,https://pitfootball.com/league/pit-football/division/78/teams/621,12,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/78/schedule/942
2025-12-06,00:05,5v5,Touch_Division_7,PLAYOFFS,Past Our Bed Times,https://pitfootball.com/league/pit-football/division/67/teams/564,19,We Survived,https://pitfootball.com/league/pit-football/division/67/teams/561,32,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/67/schedule/936
2025-12-06,00:05,Flag,Flag_D2_Recreational,PLAYOFFS,Peg City Pipeline,https://pitfootball.com/league/pit-football/division/61/teams/536,48,Honey Packs,https://pitfootball.com/league/pit-football/division/61/teams/534,18,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/61/schedule/939
2025-12-05,23:45,5v5,Touch_Division_10,PLAYOFFS,Fooseballers,https://pitfootball.com/league/pit-football/division/70/teams/575,12,Not So Young Guns,https://pitfootball.com/league/pit-football/division/70/teams/573,14,WSF South - U of M Complex (4),https://pitfootball.com/league/pit-football/division/70/schedule/953
2025-12-05,23:45,5v5,Touch_Division_15,PLAYOFFS,Hawks,https://pitfootball.com/league/pit-football/division/75/teams/594,15,Les Rouges,https://pitfootball.com/league/pit-football/division/75/teams/593,6,WSF South - U of M Complex (1),https://pitfootball.com/league/pit-football/division/75/schedule/944
2025-12-05,23:45,5v5,Touch_Division_5,PLAYOFFS,Rouge Farm,https://pitfootball.com/league/pit-football/division/65/teams/556,20,Lizard Kings,https://pitfootball.com/league/pit-football/division/65/teams/554,31,WSF South - U of M Complex (3),https://pitfootball.com/league/pit-football/division/65/schedule/950
2025-12-05,23:45,5v5,Touch_Division_6,PLAYOFFS,Sisters Football Club,https://pitfootball.com/league/pit-football/division/66/teams/558,20,Gotham Knights Legends,https://pitfootball.com/league/pit-football/division/66/teams/557,34,WSF South - U of M Complex (2),https://pitfootball.com/league/pit-football/division/66/schedule/947
2025-12-05,23:05,5v5,Touch_Division_11,PLAYOFFS,Venum,https://pitfootball.com/league/pit-football/division/71/teams/577,20,431 Shootaz,https://pitfootball.com/league/pit-football/division/71/teams/579,19,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/71/schedule/932
2025-12-05,23:05,5v5,Touch_Division_13,PLAYOFFS,Huddle Buddies,https://pitfootball.com/league/pit-football/division/73/teams/588,20,Dingos,https://pitfootball.com/league/pit-football/division/73/teams/587,26,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/73/schedule/935
2025-12-05,23:05,5v5,Touch_Division_9,PLAYOFFS,Deep Balls n House Calls,https://pitfootball.com/league/pit-football/division/69/teams/571,38,Red Light Green Light,https://pitfootball.com/league/pit-football/division/69/teams/570,33,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/69/schedule/941
2025-12-05,23:05,Flag,Flag_D3_Coed,PLAYOFFS,Hot Mess Express,https://pitfootball.com/league/pit-football/division/62/teams/615,0,Lechon Legends,https://pitfootball.com/league/pit-football/division/62/teams/616,18,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/62/schedule/938
2025-12-05,22:45,5v5,Touch_Division_16,PLAYOFFS,Endzone,https://pitfootball.com/league/pit-football/division/76/teams/600,18,Cheeky Pints,https://pitfootball.com/league/pit-football/division/76/teams/599,7,WSF South - U of M Complex (4),https://pitfootball.com/league/pit-football/division/76/schedule/952
2025-12-05,22:45,5v5,Touch_Division_6,PLAYOFFS,Sideline Savants,https://pitfootball.com/league/pit-football/division/66/teams/560,19,D3F,https://pitfootball.com/league/pit-football/division/66/teams/559,31,WSF South - U of M Complex (3),https://pitfootball.com/league/pit-football/division/66/schedule/949
2025-12-05,22:45,5v5,Touch_Division_9,PLAYOFFS,Chill Guys,https://pitfootball.com/league/pit-football/division/69/teams/569,21,Football Is Fun,https://pitfootball.com/league/pit-football/division/69/teams/572,25,WSF South - U of M Complex (1),https://pitfootball.com/league/pit-football/division/69/schedule/943
2025-12-05,22:45,Flag,Flag_D2_Recreational,PLAYOFFS,That's a Gimme,https://pitfootball.com/league/pit-football/division/61/teams/535,13,North Bay IR,https://pitfootball.com/league/pit-football/division/61/teams/537,52,WSF South - U of M Complex (2),https://pitfootball.com/league/pit-football/division/61/schedule/946
2025-12-05,22:05,5v5,Touch_Division_11,PLAYOFFS,Stone Cold Killas,https://pitfootball.com/league/pit-football/division/71/teams/580,26,Wickermen,https://pitfootball.com/league/pit-football/division/71/teams/578,30,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/71/schedule/934
2025-12-05,22:05,5v5,Touch_Division_14,PLAYOFFS,Banda Makers,https://pitfootball.com/league/pit-football/division/74/teams/591,12,Average Sized Giants,https://pitfootball.com/league/pit-football/division/74/teams/589,47,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/74/schedule/940
2025-12-05,22:05,Coed,Coed_D3,PLAYOFFS,Double tD’s,https://pitfootball.com/league/pit-football/division/84/teams/606,6,Mean Girls,https://pitfootball.com/league/pit-football/division/84/teams/608,13,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/84/schedule/931
2025-12-05,22:05,Flag,Flag_D4_Coed,PLAYOFFS,Hot & Dirty Dawgs,https://pitfootball.com/league/pit-football/division/87/teams/618,21,Fearless,https://pitfootball.com/league/pit-football/division/87/teams/613,35,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/87/schedule/937
2025-11-29,23:45,5v5,Touch_Division_10,REGULAR,Blue chew,https://pitfootball.com/league/pit-football/division/23/teams/261,19,Fooseballers,https://pitfootball.com/league/pit-football/division/23/teams/272,0,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/23/schedule/760
2025-11-29,23:45,5v5,Touch_Division_15,REGULAR,Les Rouges,https://pitfootball.com/league/pit-football/division/28/teams/116,19,One Bourbon One Scotch One Beer,https://pitfootball.com/league/pit-football/division/28/teams/194,20,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/28/schedule/771
2025-11-29,23:45,5v5,Touch_Division_1_&_2,REGULAR,Be Sexy,https://pitfootball.com/league/pit-football/division/14/teams/182,33,Big Baller Brand,https://pitfootball.com/league/pit-football/division/14/teams/79,37,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/14/schedule/765
2025-11-29,23:45,5v5,Touch_Division_8,REGULAR,Post Dig Picks Route,https://pitfootball.com/league/pit-football/division/21/teams/353,52,Cannonball,https://pitfootball.com/league/pit-football/division/21/teams/268,32,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/21/schedule/768
2025-11-29,23:30,5v5,Touch_Division_16,REGULAR,Dyck Picks,https://pitfootball.com/league/pit-football/division/29/teams/88,25,Punt Force Trauma,https://pitfootball.com/league/pit-football/division/29/teams/189,0,WSF South - U of M Complex (1),https://pitfootball.com/league/pit-football/division/29/schedule/773
2025-11-29,23:30,5v5,Touch_Division_17,REGULAR,Wheeling Hamoods,https://pitfootball.com/league/pit-football/division/32/teams/294,38,Cinnamon Toast Crunch,https://pitfootball.com/league/pit-football/division/32/teams/311,32,WSF South - U of M Complex (4),https://pitfootball.com/league/pit-football/division/32/schedule/779
2025-11-29,23:30,5v5,Touch_Division_9,REGULAR,Deep Balls n House Calls,https://pitfootball.com/league/pit-football/division/22/teams/339,26,Red Light Green Light,https://pitfootball.com/league/pit-football/division/22/teams/262,32,WSF South - U of M Complex (2),https://pitfootball.com/league/pit-football/division/22/schedule/775
2025-11-29,23:30,Flag,Flag_D3_Coed,REGULAR,Hot Mess Express,https://pitfootball.com/league/pit-football/division/31/teams/243,45,Hot & Dirty Dawgs,https://pitfootball.com/league/pit-football/division/31/teams/246,20,WSF South - U of M Complex (3),https://pitfootball.com/league/pit-football/division/31/schedule/777
2025-11-29,22:45,5v5,Touch_Division_13,REGULAR,The Blue Ballers,https://pitfootball.com/league/pit-football/division/26/teams/282,25,Boozers,https://pitfootball.com/league/pit-football/division/26/teams/285,53,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/26/schedule/770
2025-11-29,22:45,5v5,Touch_Division_1_&_2,REGULAR,Sock Puppets,https://pitfootball.com/league/pit-football/division/14/teams/149,32,Seafood City,https://pitfootball.com/league/pit-football/division/14/teams/213,20,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/14/schedule/767
2025-11-29,22:45,5v5,Touch_Division_6,REGULAR,Sisters Football Club,https://pitfootball.com/league/pit-football/division/19/teams/250,20,Gotham Knights Legends,https://pitfootball.com/league/pit-football/division/19/teams/115,26,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/19/schedule/764
2025-11-29,22:45,Coed,Coed_Division,REGULAR,Here for the Football,https://pitfootball.com/league/pit-football/division/30/teams/133,12,Bruh,https://pitfootball.com/league/pit-football/division/30/teams/218,26,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/30/schedule/759
2025-11-29,22:30,5v5,Touch_Division_10,REGULAR,Redwood Brotherhood,https://pitfootball.com/league/pit-football/division/23/teams/229,42,Not So Young Guns,https://pitfootball.com/league/pit-football/division/23/teams/219,26,WSF South - U of M Complex (3),https://pitfootball.com/league/pit-football/division/23/schedule/776
2025-11-29,22:30,5v5,Touch_Division_11,REGULAR,431 Shootaz,https://pitfootball.com/league/pit-football/division/24/teams/276,26,Wickermen,https://pitfootball.com/league/pit-football/division/24/teams/217,37,WSF South - U of M Complex (4),https://pitfootball.com/league/pit-football/division/24/schedule/778
2025-11-29,22:30,5v5,Touch_Division_14,REGULAR,Injured Reserve,https://pitfootball.com/league/pit-football/division/27/teams/289,27,Average Sized Giants,https://pitfootball.com/league/pit-football/division/27/teams/284,37,WSF South - U of M Complex (2),https://pitfootball.com/league/pit-football/division/27/schedule/774
2025-11-29,22:30,5v5,Touch_Division_18,REGULAR,Toxic Waste,https://pitfootball.com/league/pit-football/division/33/teams/306,21,Post Dig Pick Routes 2: return of the bicep,https://pitfootball.com/league/pit-football/division/33/teams/305,6,WSF South - U of M Complex (1),https://pitfootball.com/league/pit-football/division/33/schedule/772
2025-11-29,21:45,5v5,Touch_Division_4,REGULAR,Rifles,https://pitfootball.com/league/pit-football/division/17/teams/237,21,God Hates Jags,https://pitfootball.com/league/pit-football/division/17/teams/153,43,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/17/schedule/769
2025-11-29,21:45,5v5,Touch_Division_5,REGULAR,Dads and Dawgs,https://pitfootball.com/league/pit-football/division/18/teams/337,20,North Bay,https://pitfootball.com/league/pit-football/division/18/teams/238,43,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/18/schedule/763
2025-11-29,21:45,5v5,Touch_Division_7,REGULAR,Past Our Bed Times,https://pitfootball.com/league/pit-football/division/20/teams/255,39,Fail Mary,https://pitfootball.com/league/pit-football/division/20/teams/172,14,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/20/schedule/758
2025-11-29,21:45,Flag,Flag_D2_Recreational,REGULAR,That's a Gimme,https://pitfootball.com/league/pit-football/division/13/teams/168,32,Honey Packs,https://pitfootball.com/league/pit-football/division/13/teams/113,38,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/13/schedule/766
2025-11-29,20:45,5v5,Touch_Division_12,REGULAR,Itis,https://pitfootball.com/league/pit-football/division/25/teams/342,47,Globo Gym Purple Cobras,https://pitfootball.com/league/pit-football/division/25/teams/280,20,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/25/schedule/757
